numero,nombre,cuit,categoria,contribuyente,contacto,mail,telefono,razon,importe,fecha,nro_cuenta,ciudad
P00120,Isabel Ramírez,33-76543218-9,Construcción,Responsable inscripto,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,S.A,130253.0,2019-02-08,516000,Merlo
P00120,Isabel Ramírez,33-76543218-9,Construcción,Responsable inscripto,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,S.A,201168.0,2019-03-25,516000,Merlo
P00120,Isabel Ramírez,33-76543218-9,Construcción,Responsable inscripto,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,S.A,182791.0,2019-05-25,516000,Merlo
P00120,Isabel Ramírez,33-76543218-9,Construcción,Responsable inscripto,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,S.A,100941.0,2019-06-28,516000,Merlo
P00120,Isabel Ramírez,33-76543218-9,Construcción,Responsable inscripto,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,S.A,74480.0,2019-07-01,516000,Merlo
P00120,Isabel Ramírez,33-76543218-9,Construcción,Responsable inscripto,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,S.A,50006.0,2019-07-04,516000,Merlo
P00120,Isabel Ramírez,33-76543218-9,Construcción,Responsable inscripto,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,S.A,70453.0,2021-01-04,516000,Merlo
P00120,Isabel Ramírez,33-76543218-9,Construcción,Responsable inscripto,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,S.A,16006.0,2020-10-04,516000,Merlo
P00120,Isabel Ramírez,33-76543218-9,Construcción,Responsable inscripto,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,S.A,168444.0,2020-11-07,516000,Merlo
P00120,Isabel Ramírez,33-76543218-9,Construcción,Responsable inscripto,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,S.A,285123.0,2020-11-10,516000,Merlo
P00120,Isabel Ramírez,33-76543218-9,Construcción,Responsable inscripto,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,S.A,118002.0,2020-11-13,516000,Merlo
P00120,Isabel Ramírez,33-76543218-9,Construcción,Responsable inscripto,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,S.A,262998.0,2023-02-08,516000,Merlo
P00120,Isabel Ramírez,33-76543218-9,Construcción,Responsable inscripto,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,S.A,71101.0,2023-10-04,516000,Merlo
P00120,Isabel Ramírez,33-76543218-9,Construcción,Responsable inscripto,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,S.A,132812.0,2023-11-07,516000,Merlo
P00120,Isabel Ramírez,33-76543218-9,Construcción,Responsable inscripto,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,S.A,193225.0,2023-11-10,516000,Merlo
P00120,Isabel Ramírez,33-76543218-9,Construcción,Responsable inscripto,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,S.A,198619.0,2023-11-13,516000,Merlo
P00121,Carla Medina,20-34567890-1,Software,Monotributista,Carla Medina,carla.medina@empresa.qrs,0123-6789,S.R.L,222631.0,2020-01-02,509100,San Martín
P00121,Carla Medina,20-34567890-1,Software,Monotributista,Carla Medina,carla.medina@empresa.qrs,0123-6789,S.R.L,61912.0,2020-04-01,509100,San Martín
P00121,Carla Medina,20-34567890-1,Software,Monotributista,Carla Medina,carla.medina@empresa.qrs,0123-6789,S.R.L,235544.0,2020-07-01,509100,San Martín
P00121,Carla Medina,20-34567890-1,Software,Monotributista,Carla Medina,carla.medina@empresa.qrs,0123-6789,S.R.L,153467.0,2020-11-22,509100,San Martín
P00121,Carla Medina,20-34567890-1,Software,Monotributista,Carla Medina,carla.medina@empresa.qrs,0123-6789,S.R.L,229698.0,2021-03-04,509100,San Martín
P00121,Carla Medina,20-34567890-1,Software,Monotributista,Carla Medina,carla.medina@empresa.qrs,0123-6789,S.R.L,66132.0,2020-11-16,509100,San Martín
P00121,Carla Medina,20-34567890-1,Software,Monotributista,Carla Medina,carla.medina@empresa.qrs,0123-6789,S.R.L,296580.0,2021-02-19,509100,San Martín
P00121,Carla Medina,20-34567890-1,Software,Monotributista,Carla Medina,carla.medina@empresa.qrs,0123-6789,S.R.L,228513.0,2022-10-19,509100,San Martín
P00122,Manuel Fernández,30-98765434-2,Consultoría it,Responsable inscripto,Manuel Fernández,manuel.fernandez@empresa.tuv,0345-6789,S.A,183419.0,2020-01-05,501400,Viedma
P00122,Manuel Fernández,30-98765434-2,Consultoría it,Responsable inscripto,Manuel Fernández,manuel.fernandez@empresa.tuv,0345-6789,S.A,218194.0,2020-04-04,501400,Viedma
P00122,Manuel Fernández,30-98765434-2,Consultoría it,Responsable inscripto,Manuel Fernández,manuel.fernandez@empresa.tuv,0345-6789,S.A,175383.0,2020-07-04,501400,Viedma
P00122,Manuel Fernández,30-98765434-2,Consultoría it,Responsable inscripto,Manuel Fernández,manuel.fernandez@empresa.tuv,0345-6789,S.A,216757.0,2020-11-25,501400,Viedma
P00122,Manuel Fernández,30-98765434-2,Consultoría it,Responsable inscripto,Manuel Fernández,manuel.fernandez@empresa.tuv,0345-6789,S.A,102297.0,2021-03-07,501400,Viedma
P00122,Manuel Fernández,30-98765434-2,Consultoría it,Responsable inscripto,Manuel Fernández,manuel.fernandez@empresa.tuv,0345-6789,S.A,24251.0,2022-11-17,501400,Viedma
P00122,Manuel Fernández,30-98765434-2,Consultoría it,Responsable inscripto,Manuel Fernández,manuel.fernandez@empresa.tuv,0345-6789,S.A,149161.0,2022-09-22,501400,Viedma
P00122,Manuel Fernández,30-98765434-2,Consultoría it,Responsable inscripto,Manuel Fernández,manuel.fernandez@empresa.tuv,0345-6789,S.A,91564.0,2022-10-22,501400,Viedma
P00123,Sofía Castro,27-87654321-0,Energía eólica,Monotributista,Sofía Castro,sofia.castro@empresa.uvw,0456-7890,S.A,296190.0,2020-01-08,501400,Rawson
P00123,Sofía Castro,27-87654321-0,Energía eólica,Monotributista,Sofía Castro,sofia.castro@empresa.uvw,0456-7890,S.A,251963.0,2020-04-07,501400,Rawson
P00123,Sofía Castro,27-87654321-0,Energía eólica,Monotributista,Sofía Castro,sofia.castro@empresa.uvw,0456-7890,S.A,119340.0,2020-07-07,501400,Rawson
P00123,Sofía Castro,27-87654321-0,Energía eólica,Monotributista,Sofía Castro,sofia.castro@empresa.uvw,0456-7890,S.A,248673.0,2020-11-28,501400,Rawson
P00123,Sofía Castro,27-87654321-0,Energía eólica,Monotributista,Sofía Castro,sofia.castro@empresa.uvw,0456-7890,S.A,75137.0,2022-11-18,501400,Rawson
P00123,Sofía Castro,27-87654321-0,Energía eólica,Monotributista,Sofía Castro,sofia.castro@empresa.uvw,0456-7890,S.A,85257.0,2022-09-25,501400,Rawson
P00123,Sofía Castro,27-87654321-0,Energía eólica,Monotributista,Sofía Castro,sofia.castro@empresa.uvw,0456-7890,S.A,91564.0,2022-10-25,501400,Rawson
P00124,Ricardo López,23-98765432-4,Construcción,Responsable inscripto,Ricardo López,ricardo.lopez@empresa.xyz,0567-8901,S.R.L,88564.0,2020-01-11,516000,Oberá
P00124,Ricardo López,23-98765432-4,Construcción,Responsable inscripto,Ricardo López,ricardo.lopez@empresa.xyz,0567-8901,S.R.L,109710.0,2020-04-10,516000,Oberá
P00124,Ricardo López,23-98765432-4,Construcción,Responsable inscripto,Ricardo López,ricardo.lopez@empresa.xyz,0567-8901,S.R.L,129304.0,2020-07-10,516000,Oberá
P00124,Ricardo López,23-98765432-4,Construcción,Responsable inscripto,Ricardo López,ricardo.lopez@empresa.xyz,0567-8901,S.R.L,233659.0,2020-12-01,516000,Oberá
P00124,Ricardo López,23-98765432-4,Construcción,Responsable inscripto,Ricardo López,ricardo.lopez@empresa.xyz,0567-8901,S.R.L,30337.0,2021-01-28,516000,Oberá
P00124,Ricardo López,23-98765432-4,Construcción,Responsable inscripto,Ricardo López,ricardo.lopez@empresa.xyz,0567-8901,S.R.L,246839.0,2022-09-28,516000,Oberá
P00125,Gabriela Martínez,33-12345678-9,Agroindustria,Monotributista,Gabriela Martínez,gabriela.martinez@empresa.abc,0678-9012,Cooperativa,22903.0,2020-01-14,507100,Calafate
P00125,Gabriela Martínez,33-12345678-9,Agroindustria,Monotributista,Gabriela Martínez,gabriela.martinez@empresa.abc,0678-9012,Cooperativa,247663.0,2020-04-13,507100,Calafate
P00125,Gabriela Martínez,33-12345678-9,Agroindustria,Monotributista,Gabriela Martínez,gabriela.martinez@empresa.abc,0678-9012,Cooperativa,90516.0,2020-07-13,507100,Calafate
P00125,Gabriela Martínez,33-12345678-9,Agroindustria,Monotributista,Gabriela Martínez,gabriela.martinez@empresa.abc,0678-9012,Cooperativa,139242.0,2020-12-04,507100,Calafate
P00125,Gabriela Martínez,33-12345678-9,Agroindustria,Monotributista,Gabriela Martínez,gabriela.martinez@empresa.abc,0678-9012,Cooperativa,88185.0,2021-02-01,507100,Calafate
P00125,Gabriela Martínez,33-12345678-9,Agroindustria,Monotributista,Gabriela Martínez,gabriela.martinez@empresa.abc,0678-9012,Cooperativa,244816.0,2022-10-01,507100,Calafate
P00126,Pablo Vargas,20-23456789-1,Tecnología,Responsable inscripto,Pablo Vargas,pablo.vargas@empresa.def,0789-0123,S.A,74389.0,2020-01-17,509100,Gualeguaychú
P00126,Pablo Vargas,20-23456789-1,Tecnología,Responsable inscripto,Pablo Vargas,pablo.vargas@empresa.def,0789-0123,S.A,117043.0,2020-04-16,509100,Gualeguaychú
P00126,Pablo Vargas,20-23456789-1,Tecnología,Responsable inscripto,Pablo Vargas,pablo.vargas@empresa.def,0789-0123,S.A,97376.0,2020-07-16,509100,Gualeguaychú
P00126,Pablo Vargas,20-23456789-1,Tecnología,Responsable inscripto,Pablo Vargas,pablo.vargas@empresa.def,0789-0123,S.A,231968.0,2020-12-07,509100,Gualeguaychú
P00126,Pablo Vargas,20-23456789-1,Tecnología,Responsable inscripto,Pablo Vargas,pablo.vargas@empresa.def,0789-0123,S.A,146818.0,2021-02-04,509100,Gualeguaychú
P00126,Pablo Vargas,20-23456789-1,Tecnología,Responsable inscripto,Pablo Vargas,pablo.vargas@empresa.def,0789-0123,S.A,14222.0,2022-10-04,509100,Gualeguaychú
P00127,Laura Fernández,30-34567890-3,Energía solar,Monotributista,Laura Fernández,laura.fernandez@empresa.ghi,0890-1234,S.R.L,37706.0,2020-01-20,501400,Río Grande
P00127,Laura Fernández,30-34567890-3,Energía solar,Monotributista,Laura Fernández,laura.fernandez@empresa.ghi,0890-1234,S.R.L,11442.0,2020-04-19,501400,Río Grande
P00127,Laura Fernández,30-34567890-3,Energía solar,Monotributista,Laura Fernández,laura.fernandez@empresa.ghi,0890-1234,S.R.L,179093.0,2020-07-19,501400,Río Grande
P00127,Laura Fernández,30-34567890-3,Energía solar,Monotributista,Laura Fernández,laura.fernandez@empresa.ghi,0890-1234,S.R.L,173998.0,2020-12-10,501400,Río Grande
P00127,Laura Fernández,30-34567890-3,Energía solar,Monotributista,Laura Fernández,laura.fernandez@empresa.ghi,0890-1234,S.R.L,283665.0,2021-02-07,501400,Río Grande
P00127,Laura Fernández,30-34567890-3,Energía solar,Monotributista,Laura Fernández,laura.fernandez@empresa.ghi,0890-1234,S.R.L,212134.0,2022-10-07,501400,Río Grande
P00128,Javier González,27-98765432-5,Transporte,Responsable inscripto,Javier González,javier.gonzalez@empresa.jkl,0912-3456,S.A,198341.0,2020-01-23,502100,Buenos Aires
P00128,Javier González,27-98765432-5,Transporte,Responsable inscripto,Javier González,javier.gonzalez@empresa.jkl,0912-3456,S.A,10587.0,2020-04-22,502100,Buenos Aires
P00128,Javier González,27-98765432-5,Transporte,Responsable inscripto,Javier González,javier.gonzalez@empresa.jkl,0912-3456,S.A,179746.0,2020-07-22,502100,Buenos Aires
P00128,Javier González,27-98765432-5,Transporte,Responsable inscripto,Javier González,javier.gonzalez@empresa.jkl,0912-3456,S.A,83142.0,2020-12-13,502100,Buenos Aires
P00128,Javier González,27-98765432-5,Transporte,Responsable inscripto,Javier González,javier.gonzalez@empresa.jkl,0912-3456,S.A,59591.0,2021-02-10,502100,Buenos Aires
P00128,Javier González,27-98765432-5,Transporte,Responsable inscripto,Javier González,javier.gonzalez@empresa.jkl,0912-3456,S.A,280267.0,2022-10-10,502100,Buenos Aires
P00129,Patricia Rivas,23-45678901-7,Construcción,Monotributista,Patricia Rivas,patricia.rivas@empresa.mno,0123-4567,S.R.L,237422.0,2020-01-26,516000,Villa Carlos Paz
P00129,Patricia Rivas,23-45678901-7,Construcción,Monotributista,Patricia Rivas,patricia.rivas@empresa.mno,0123-4567,S.R.L,13020.0,2020-04-25,516000,Villa Carlos Paz
P00129,Patricia Rivas,23-45678901-7,Construcción,Monotributista,Patricia Rivas,patricia.rivas@empresa.mno,0123-4567,S.R.L,94240.0,2020-07-25,516000,Villa Carlos Paz
P00129,Patricia Rivas,23-45678901-7,Construcción,Monotributista,Patricia Rivas,patricia.rivas@empresa.mno,0123-4567,S.R.L,64138.0,2020-12-16,516000,Villa Carlos Paz
P00129,Patricia Rivas,23-45678901-7,Construcción,Monotributista,Patricia Rivas,patricia.rivas@empresa.mno,0123-4567,S.R.L,209335.0,2021-02-13,516000,Villa Carlos Paz
P00129,Patricia Rivas,23-45678901-7,Construcción,Monotributista,Patricia Rivas,patricia.rivas@empresa.mno,0123-4567,S.R.L,211622.0,2022-10-13,516000,Villa Carlos Paz
P00130,Fernando Reyes,33-56789012-6,Agroindustria,Responsable inscripto,Fernando Reyes,fernando.reyes@empresa.pqr,0345-6789,Cooperativa,79707.0,2020-01-29,507100,Villa Allende
P00130,Fernando Reyes,33-56789012-6,Agroindustria,Responsable inscripto,Fernando Reyes,fernando.reyes@empresa.pqr,0345-6789,Cooperativa,217800.0,2020-04-28,507100,Villa Allende
P00130,Fernando Reyes,33-56789012-6,Agroindustria,Responsable inscripto,Fernando Reyes,fernando.reyes@empresa.pqr,0345-6789,Cooperativa,26298.0,2020-07-28,507100,Villa Allende
P00130,Fernando Reyes,33-56789012-6,Agroindustria,Responsable inscripto,Fernando Reyes,fernando.reyes@empresa.pqr,0345-6789,Cooperativa,147083.0,2020-12-19,507100,Villa Allende
P00130,Fernando Reyes,33-56789012-6,Agroindustria,Responsable inscripto,Fernando Reyes,fernando.reyes@empresa.pqr,0345-6789,Cooperativa,241869.0,2021-02-16,507100,Villa Allende
P00130,Fernando Reyes,33-56789012-6,Agroindustria,Responsable inscripto,Fernando Reyes,fernando.reyes@empresa.pqr,0345-6789,Cooperativa,140463.0,2022-10-16,507100,Villa Allende
P00131,Valentina Ortega,20-87654321-2,Consultoría,Monotributista,Valentina Ortega,valentina.ortega@empresa.stu,0456-7890,S.R.L,12989.0,2020-02-01,501400,San Pedro
P00131,Valentina Ortega,20-87654321-2,Consultoría,Monotributista,Valentina Ortega,valentina.ortega@empresa.stu,0456-7890,S.R.L,268049.0,2020-05-01,501400,San Pedro
P00131,Valentina Ortega,20-87654321-2,Consultoría,Monotributista,Valentina Ortega,valentina.ortega@empresa.stu,0456-7890,S.R.L,222635.0,2020-08-01,501400,San Pedro
P00131,Valentina Ortega,20-87654321-2,Consultoría,Monotributista,Valentina Ortega,valentina.ortega@empresa.stu,0456-7890,S.R.L,256449.0,2020-12-22,501400,San Pedro
P00131,Valentina Ortega,20-87654321-2,Consultoría,Monotributista,Valentina Ortega,valentina.ortega@empresa.stu,0456-7890,S.R.L,141315.0,2021-02-19,501400,San Pedro
P00131,Valentina Ortega,20-87654321-2,Consultoría,Monotributista,Valentina Ortega,valentina.ortega@empresa.stu,0456-7890,S.R.L,186346.0,2022-10-19,501400,San Pedro
P00132,Andrés Ruiz,30-12345678-9,Tecnología,Responsable inscripto,Andrés Ruiz,andres.ruiz@empresa.tuv,0567-8901,S.A,249854.0,2020-02-04,509100,General Roca
P00132,Andrés Ruiz,30-12345678-9,Tecnología,Responsable inscripto,Andrés Ruiz,andres.ruiz@empresa.tuv,0567-8901,S.A,229698.0,2020-05-04,509100,General Roca
P00132,Andrés Ruiz,30-12345678-9,Tecnología,Responsable inscripto,Andrés Ruiz,andres.ruiz@empresa.tuv,0567-8901,S.A,192599.0,2020-08-04,509100,General Roca
P00132,Andrés Ruiz,30-12345678-9,Tecnología,Responsable inscripto,Andrés Ruiz,andres.ruiz@empresa.tuv,0567-8901,S.A,152846.0,2020-12-25,509100,General Roca
P00132,Andrés Ruiz,30-12345678-9,Tecnología,Responsable inscripto,Andrés Ruiz,andres.ruiz@empresa.tuv,0567-8901,S.A,110878.0,2021-01-07,509100,General Roca
P00132,Andrés Ruiz,30-12345678-9,Tecnología,Responsable inscripto,Andrés Ruiz,andres.ruiz@empresa.tuv,0567-8901,S.A,48679.0,2022-09-22,509100,General Roca
P00132,Andrés Ruiz,30-12345678-9,Tecnología,Responsable inscripto,Andrés Ruiz,andres.ruiz@empresa.tuv,0567-8901,S.A,50488.0,2022-10-22,509100,General Roca
P00133,Daniela Fernández,27-23456789-4,Energía eólica,Monotributista,Daniela Fernández,daniela.fernandez@empresa.uvw,0678-9012,S.A,127726.0,2020-02-07,501400,Junín
P00133,Daniela Fernández,27-23456789-4,Energía eólica,Monotributista,Daniela Fernández,daniela.fernandez@empresa.uvw,0678-9012,S.A,102297.0,2020-05-07,501400,Junín
P00133,Daniela Fernández,27-23456789-4,Energía eólica,Monotributista,Daniela Fernández,daniela.fernandez@empresa.uvw,0678-9012,S.A,150974.0,2020-08-07,501400,Junín
P00133,Daniela Fernández,27-23456789-4,Energía eólica,Monotributista,Daniela Fernández,daniela.fernandez@empresa.uvw,0678-9012,S.A,256144.0,2020-12-28,501400,Junín
P00133,Daniela Fernández,27-23456789-4,Energía eólica,Monotributista,Daniela Fernández,daniela.fernandez@empresa.uvw,0678-9012,S.A,31099.0,2021-01-10,501400,Junín
P00133,Daniela Fernández,27-23456789-4,Energía eólica,Monotributista,Daniela Fernández,daniela.fernandez@empresa.uvw,0678-9012,S.A,194151.0,2022-09-25,501400,Junín
P00133,Daniela Fernández,27-23456789-4,Energía eólica,Monotributista,Daniela Fernández,daniela.fernandez@empresa.uvw,0678-9012,S.A,126804.0,2022-10-25,501400,Junín
P00134,Luis Gómez,23-34567890-7,Construcción,Responsable inscripto,Luis Gómez,luis.gomez@empresa.xyz,0789-0123,S.R.L,243396.0,2020-02-10,516000,Buenos Aires
P00134,Luis Gómez,23-34567890-7,Construcción,Responsable inscripto,Luis Gómez,luis.gomez@empresa.xyz,0789-0123,S.R.L,24358.0,2020-05-10,516000,Buenos Aires
P00134,Luis Gómez,23-34567890-7,Construcción,Responsable inscripto,Luis Gómez,luis.gomez@empresa.xyz,0789-0123,S.R.L,60625.0,2020-08-10,516000,Buenos Aires
P00134,Luis Gómez,23-34567890-7,Construcción,Responsable inscripto,Luis Gómez,luis.gomez@empresa.xyz,0789-0123,S.R.L,161646.0,2020-10-01,516000,Buenos Aires
P00134,Luis Gómez,23-34567890-7,Construcción,Responsable inscripto,Luis Gómez,luis.gomez@empresa.xyz,0789-0123,S.R.L,135225.0,2021-01-01,516000,Buenos Aires
P00134,Luis Gómez,23-34567890-7,Construcción,Responsable inscripto,Luis Gómez,luis.gomez@empresa.xyz,0789-0123,S.R.L,249165.0,2021-01-13,516000,Buenos Aires
P00134,Luis Gómez,23-34567890-7,Construcción,Responsable inscripto,Luis Gómez,luis.gomez@empresa.xyz,0789-0123,S.R.L,219837.0,2022-09-28,516000,Buenos Aires
P00134,Luis Gómez,23-34567890-7,Construcción,Responsable inscripto,Luis Gómez,luis.gomez@empresa.xyz,0789-0123,S.R.L,173152.0,2021-01-28,516000,Buenos Aires
P00135,Marcela Jiménez,33-45678901-8,Agroindustria,Monotributista,Marcela Jiménez,marcela.jimenez@empresa.abc,0890-1234,Cooperativa,46325.0,2020-02-13,507100,Rafaela
P00135,Marcela Jiménez,33-45678901-8,Agroindustria,Monotributista,Marcela Jiménez,marcela.jimenez@empresa.abc,0890-1234,Cooperativa,165797.0,2020-05-13,507100,Rafaela
P00135,Marcela Jiménez,33-45678901-8,Agroindustria,Monotributista,Marcela Jiménez,marcela.jimenez@empresa.abc,0890-1234,Cooperativa,294815.0,2020-08-13,507100,Rafaela
P00135,Marcela Jiménez,33-45678901-8,Agroindustria,Monotributista,Marcela Jiménez,marcela.jimenez@empresa.abc,0890-1234,Cooperativa,57988.0,2020-10-04,507100,Rafaela
P00135,Marcela Jiménez,33-45678901-8,Agroindustria,Monotributista,Marcela Jiménez,marcela.jimenez@empresa.abc,0890-1234,Cooperativa,89516.0,2021-01-04,507100,Rafaela
P00135,Marcela Jiménez,33-45678901-8,Agroindustria,Monotributista,Marcela Jiménez,marcela.jimenez@empresa.abc,0890-1234,Cooperativa,281214.0,2021-01-16,507100,Rafaela
P00135,Marcela Jiménez,33-45678901-8,Agroindustria,Monotributista,Marcela Jiménez,marcela.jimenez@empresa.abc,0890-1234,Cooperativa,225311.0,2022-10-01,507100,Rafaela
P00135,Marcela Jiménez,33-45678901-8,Agroindustria,Monotributista,Marcela Jiménez,marcela.jimenez@empresa.abc,0890-1234,Cooperativa,170553.0,2021-02-01,507100,Rafaela
P00136,Roberto Díaz,20-56789012-3,Tecnología,Responsable inscripto,Roberto Díaz,roberto.diaz@empresa.def,0912-3456,S.A,220987.0,2020-02-16,509100,Rio Gallegos
P00136,Roberto Díaz,20-56789012-3,Tecnología,Responsable inscripto,Roberto Díaz,roberto.diaz@empresa.def,0912-3456,S.A,260964.0,2020-05-16,509100,Rio Gallegos
P00136,Roberto Díaz,20-56789012-3,Tecnología,Responsable inscripto,Roberto Díaz,roberto.diaz@empresa.def,0912-3456,S.A,45468.0,2020-08-16,509100,Rio Gallegos
P00136,Roberto Díaz,20-56789012-3,Tecnología,Responsable inscripto,Roberto Díaz,roberto.diaz@empresa.def,0912-3456,S.A,135113.0,2020-10-07,509100,Rio Gallegos
P00136,Roberto Díaz,20-56789012-3,Tecnología,Responsable inscripto,Roberto Díaz,roberto.diaz@empresa.def,0912-3456,S.A,148154.0,2021-01-19,509100,Rio Gallegos
P00136,Roberto Díaz,20-56789012-3,Tecnología,Responsable inscripto,Roberto Díaz,roberto.diaz@empresa.def,0912-3456,S.A,247527.0,2022-10-04,509100,Rio Gallegos
P00136,Roberto Díaz,20-56789012-3,Tecnología,Responsable inscripto,Roberto Díaz,roberto.diaz@empresa.def,0912-3456,S.A,212736.0,2021-02-04,509100,Rio Gallegos
P00137,Camila Martínez,30-67890123-4,Energía solar,Monotributista,Camila Martínez,camila.martinez@empresa.ghi,0123-4567,S.R.L,221445.0,2020-02-19,501400,Buenos Aires
P00137,Camila Martínez,30-67890123-4,Energía solar,Monotributista,Camila Martínez,camila.martinez@empresa.ghi,0123-4567,S.R.L,228513.0,2020-05-19,501400,Buenos Aires
P00137,Camila Martínez,30-67890123-4,Energía solar,Monotributista,Camila Martínez,camila.martinez@empresa.ghi,0123-4567,S.R.L,247726.0,2020-08-19,501400,Buenos Aires
P00137,Camila Martínez,30-67890123-4,Energía solar,Monotributista,Camila Martínez,camila.martinez@empresa.ghi,0123-4567,S.R.L,295302.0,2020-10-10,501400,Buenos Aires
P00137,Camila Martínez,30-67890123-4,Energía solar,Monotributista,Camila Martínez,camila.martinez@empresa.ghi,0123-4567,S.R.L,217867.0,2021-01-22,501400,Buenos Aires
P00137,Camila Martínez,30-67890123-4,Energía solar,Monotributista,Camila Martínez,camila.martinez@empresa.ghi,0123-4567,S.R.L,223875.0,2022-10-07,501400,Buenos Aires
P00137,Camila Martínez,30-67890123-4,Energía solar,Monotributista,Camila Martínez,camila.martinez@empresa.ghi,0123-4567,S.R.L,151708.0,2021-02-07,501400,Buenos Aires
P00138,Santiago López,27-78901234-6,Transporte,Responsable inscripto,Santiago López,santiago.lopez@empresa.jkl,0345-6789,S.A,94895.0,2020-02-22,502100,Mendoza
P00138,Santiago López,27-78901234-6,Transporte,Responsable inscripto,Santiago López,santiago.lopez@empresa.jkl,0345-6789,S.A,91564.0,2020-05-22,502100,Mendoza
P00138,Santiago López,27-78901234-6,Transporte,Responsable inscripto,Santiago López,santiago.lopez@empresa.jkl,0345-6789,S.A,175561.0,2020-08-22,502100,Mendoza
P00138,Santiago López,27-78901234-6,Transporte,Responsable inscripto,Santiago López,santiago.lopez@empresa.jkl,0345-6789,S.A,73794.0,2020-10-13,502100,Mendoza
P00138,Santiago López,27-78901234-6,Transporte,Responsable inscripto,Santiago López,santiago.lopez@empresa.jkl,0345-6789,S.A,73794.0,2021-01-25,502100,Mendoza
P00138,Santiago López,27-78901234-6,Transporte,Responsable inscripto,Santiago López,santiago.lopez@empresa.jkl,0345-6789,S.A,148032.0,2022-10-10,502100,Mendoza
P00138,Santiago López,27-78901234-6,Transporte,Responsable inscripto,Santiago López,santiago.lopez@empresa.jkl,0345-6789,S.A,279688.0,2021-02-10,502100,Mendoza
P00139,Fernanda García,23-89012345-9,Construcción,Monotributista,Fernanda García,fernanda.garcia@empresa.mno,0456-7890,S.R.L,139765.0,2020-02-25,516000,Cordoba
P00139,Fernanda García,23-89012345-9,Construcción,Monotributista,Fernanda García,fernanda.garcia@empresa.mno,0456-7890,S.R.L,143944.0,2020-05-25,516000,Cordoba
P00139,Fernanda García,23-89012345-9,Construcción,Monotributista,Fernanda García,fernanda.garcia@empresa.mno,0456-7890,S.R.L,158384.0,2020-08-25,516000,Cordoba
P00139,Fernanda García,23-89012345-9,Construcción,Monotributista,Fernanda García,fernanda.garcia@empresa.mno,0456-7890,S.R.L,106432.0,2020-10-16,516000,Cordoba
P00139,Fernanda García,23-89012345-9,Construcción,Monotributista,Fernanda García,fernanda.garcia@empresa.mno,0456-7890,S.R.L,106432.0,2021-01-28,516000,Cordoba
P00139,Fernanda García,23-89012345-9,Construcción,Monotributista,Fernanda García,fernanda.garcia@empresa.mno,0456-7890,S.R.L,42668.0,2022-10-13,516000,Cordoba
P00139,Fernanda García,23-89012345-9,Construcción,Monotributista,Fernanda García,fernanda.garcia@empresa.mno,0456-7890,S.R.L,72059.0,2021-02-13,516000,Cordoba
P00140,Nicolás Castillo,33-90123456-0,Agroindustria,Responsable inscripto,Nicolás Castillo,nicolas.castillo@empresa.pqr,0567-8901,Cooperativa,248599.0,2020-02-28,507100,Rosario
P00140,Nicolás Castillo,33-90123456-0,Agroindustria,Responsable inscripto,Nicolás Castillo,nicolas.castillo@empresa.pqr,0567-8901,Cooperativa,159738.0,2020-05-28,507100,Rosario
P00140,Nicolás Castillo,33-90123456-0,Agroindustria,Responsable inscripto,Nicolás Castillo,nicolas.castillo@empresa.pqr,0567-8901,Cooperativa,122240.0,2020-08-28,507100,Rosario
P00140,Nicolás Castillo,33-90123456-0,Agroindustria,Responsable inscripto,Nicolás Castillo,nicolas.castillo@empresa.pqr,0567-8901,Cooperativa,90675.0,2020-10-19,507100,Rosario
P00140,Nicolás Castillo,33-90123456-0,Agroindustria,Responsable inscripto,Nicolás Castillo,nicolas.castillo@empresa.pqr,0567-8901,Cooperativa,90675.0,2021-02-01,507100,Rosario
P00140,Nicolás Castillo,33-90123456-0,Agroindustria,Responsable inscripto,Nicolás Castillo,nicolas.castillo@empresa.pqr,0567-8901,Cooperativa,81679.0,2022-10-16,507100,Rosario
P00140,Nicolás Castillo,33-90123456-0,Agroindustria,Responsable inscripto,Nicolás Castillo,nicolas.castillo@empresa.pqr,0567-8901,Cooperativa,117043.0,2021-02-16,507100,Rosario
P00141,Juliana Pérez,20-01234567-4,Consultoría,Monotributista,Juliana Pérez,juliana.perez@empresa.stu,0678-9012,S.R.L,130696.0,2020-03-02,501400,San Juan
