Número Proveedor,Nombre Proveedor,CUIT,Categor/a Proveedor,Tipo de Contribuyente,Observaciones,Contacto,Correo Electrónico,Teléfono,Razón Social,Importe,Fecha,Nro_Cuenta,Ciudad,Pais,Maps
P00117,Juan Castillo,30-87654321-0,Tecnología,IVA Responsable,-,Juan Castillo,juan.castillo@empresa.tuv,0345-9998,S.A.,"191.131,00",25/09/2020,509100,Trelew,Argentina,
P00117,Juan Castillo,30-87654321-0,Tecnología,IVA Responsable,-,Juan Castillo,juan.castillo@empresa.tuv,0345-9998,S.A.,"30.101,00",28/10/2020,509100,Trelew,Argentina,
P00117,Juan Castillo,30-87654321-0,Tecnología,IVA Responsable,-,Juan Castillo,juan.castillo@empresa.tuv,0345-9998,S.A.,"239.664,00",30/01/2023,509100,Trelew,Argentina,
P00117,Juan Castillo,30-87654321-0,Tecnología,IVA Responsable,-,Juan Castillo,juan.castillo@empresa.tuv,0345-9998,S.A.,"16.770,00",28/10/2023,509100,Trelew,Argentina,
P00118,Sofía Martínez,27-12345678-9,Energía Renovable,Responsable Inscripto,-,Sofía Martínez,sofia.martinez@empresa.wxy,0555-2345,Cooperativa,"167.832,00",2/02/2019,501400,Mendoza,Argentina,
P00118,Sofía Martínez,27-12345678-9,Energía Renovable,Responsable Inscripto,-,Sofía Martínez,sofia.martinez@empresa.wxy,0555-2345,Cooperativa,"247.694,00",19/03/2019,501400,Mendoza,Argentina,
P00118,Sofía Martínez,27-12345678-9,Energía Renovable,Responsable Inscripto,-,Sofía Martínez,sofia.martinez@empresa.wxy,0555-2345,Cooperativa,"113.663,00",19/05/2019,501400,Mendoza,Argentina,
P00118,Sofía Martínez,27-12345678-9,Energía Renovable,Responsable Inscripto,-,Sofía Martínez,sofia.martinez@empresa.wxy,0555-2345,Cooperativa,"19.987,00",22/06/2019,501400,Mendoza,Argentina,
P00118,Sofía Martínez,27-12345678-9,Energía Renovable,Responsable Inscripto,-,Sofía Martínez,sofia.martinez@empresa.wxy,0555-2345,Cooperativa,"26.855,00",28/09/2020,501400,Mendoza,Argentina,
P00118,Sofía Martínez,27-12345678-9,Energía Renovable,Responsable Inscripto,-,Sofía Martínez,sofia.martinez@empresa.wxy,0555-2345,Cooperativa,"299.321,00",1/11/2020,501400,Mendoza,Argentina,
P00118,Sofía Martínez,27-12345678-9,Energía Renovable,Responsable Inscripto,-,Sofía Martínez,sofia.martinez@empresa.wxy,0555-2345,Cooperativa,"145.362,00",2/02/2023,501400,Mendoza,Argentina,
P00118,Sofía Martínez,27-12345678-9,Energía Renovable,Responsable Inscripto,-,Sofía Martínez,sofia.martinez@empresa.wxy,0555-2345,Cooperativa,"52.591,00",1/11/2023,501400,Mendoza,Argentina,
P00119,Pablo Díaz,23-87654329-8,Transporte,Monotributista,-,Pablo Díaz,pablo.diaz@empresa.zab,0123-7654,S.R.L.,"285.851,00",5/02/2019,502100,San Fernando,Argentina,
P00119,Pablo Díaz,23-87654329-8,Transporte,Monotributista,-,Pablo Díaz,pablo.diaz@empresa.zab,0123-7654,S.R.L.,"266.431,00",22/03/2019,502100,San Fernando,Argentina,
P00119,Pablo Díaz,23-87654329-8,Transporte,Monotributista,-,Pablo Díaz,pablo.diaz@empresa.zab,0123-7654,S.R.L.,"47.892,00",22/05/2019,502100,San Fernando,Argentina,
P00119,Pablo Díaz,23-87654329-8,Transporte,Monotributista,-,Pablo Díaz,pablo.diaz@empresa.zab,0123-7654,S.R.L.,"143.655,00",25/06/2019,502100,San Fernando,Argentina,
P00119,Pablo Díaz,23-87654329-8,Transporte,Monotributista,-,Pablo Díaz,pablo.diaz@empresa.zab,0123-7654,S.R.L.,"253.069,00",1/01/2021,502100,San Fernando,Argentina,
P00119,Pablo Díaz,23-87654329-8,Transporte,Monotributista,-,Pablo Díaz,pablo.diaz@empresa.zab,0123-7654,S.R.L.,"124.078,00",1/10/2020,502100,San Fernando,Argentina,
P00119,Pablo Díaz,23-87654329-8,Transporte,Monotributista,-,Pablo Díaz,pablo.diaz@empresa.zab,0123-7654,S.R.L.,"164.974,00",4/11/2020,502100,San Fernando,Argentina,
P00119,Pablo Díaz,23-87654329-8,Transporte,Monotributista,-,Pablo Díaz,pablo.diaz@empresa.zab,0123-7654,S.R.L.,"98.184,00",5/02/2023,502100,San Fernando,Argentina,
P00119,Pablo Díaz,23-87654329-8,Transporte,Monotributista,-,Pablo Díaz,pablo.diaz@empresa.zab,0123-7654,S.R.L.,"70.237,00",1/10/2023,502100,San Fernando,Argentina,
P00119,Pablo Díaz,23-87654329-8,Transporte,Monotributista,-,Pablo Díaz,pablo.diaz@empresa.zab,0123-7654,S.R.L.,"249.088,00",4/11/2023,502100,San Fernando,Argentina,
P00120,Isabel Ramírez,33-76543218-9,Construcción,IVA Responsable,-,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,Sociedad Anónima,"130.253,00",8/02/2019,516000,Merlo,Argentina,
P00120,Isabel Ramírez,33-76543218-9,Construcción,IVA Responsable,-,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,Sociedad Anónima,"201.168,00",25/03/2019,516000,Merlo,Argentina,
P00120,Isabel Ramírez,33-76543218-9,Construcción,IVA Responsable,-,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,Sociedad Anónima,"182.791,00",25/05/2019,516000,Merlo,Argentina,
P00120,Isabel Ramírez,33-76543218-9,Construcción,IVA Responsable,-,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,Sociedad Anónima,"100.941,00",28/06/2019,516000,Merlo,Argentina,
P00120,Isabel Ramírez,33-76543218-9,Construcción,IVA Responsable,-,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,Sociedad Anónima,"74.480,00",1/07/2019,516000,Merlo,Argentina,
P00120,Isabel Ramírez,33-76543218-9,Construcción,IVA Responsable,-,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,Sociedad Anónima,"50.006,00",4/07/2019,516000,Merlo,Argentina,
P00120,Isabel Ramírez,33-76543218-9,Construcción,IVA Responsable,-,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,Sociedad Anónima,"70.453,00",4/01/2021,516000,Merlo,Argentina,
P00120,Isabel Ramírez,33-76543218-9,Construcción,IVA Responsable,-,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,Sociedad Anónima,"16.006,00",4/10/2020,516000,Merlo,Argentina,
P00120,Isabel Ramírez,33-76543218-9,Construcción,IVA Responsable,-,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,Sociedad Anónima,"168.444,00",7/11/2020,516000,Merlo,Argentina,
P00120,Isabel Ramírez,33-76543218-9,Construcción,IVA Responsable,-,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,Sociedad Anónima,"285.123,00",10/11/2020,516000,Merlo,Argentina,
P00120,Isabel Ramírez,33-76543218-9,Construcción,IVA Responsable,-,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,Sociedad Anónima,"118.002,00",13/11/2020,516000,Merlo,Argentina,
P00120,Isabel Ramírez,33-76543218-9,Construcción,IVA Responsable,-,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,Sociedad Anónima,"262.998,00",8/02/2023,516000,Merlo,Argentina,
P00120,Isabel Ramírez,33-76543218-9,Construcción,IVA Responsable,-,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,Sociedad Anónima,"71.101,00",4/10/2023,516000,Merlo,Argentina,
P00120,Isabel Ramírez,33-76543218-9,Construcción,IVA Responsable,-,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,Sociedad Anónima,"132.812,00",7/11/2023,516000,Merlo,Argentina,
P00120,Isabel Ramírez,33-76543218-9,Construcción,IVA Responsable,-,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,Sociedad Anónima,"193.225,00",10/11/2023,516000,Merlo,Argentina,
P00120,Isabel Ramírez,33-76543218-9,Construcción,IVA Responsable,-,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,Sociedad Anónima,"198.619,00",13/11/2023,516000,Merlo,Argentina,
P00121,Carla Medina,20-34567890-1,Software,Monotributista,-,Carla Medina,carla.medina@empresa.qrs,0123-6789,S.R.L.,"222.631,00",2/01/2020,509100,San Martín,Argentina,
P00121,Carla Medina,20-34567890-1,Software,Monotributista,-,Carla Medina,carla.medina@empresa.qrs,0123-6789,S.R.L.,"61.912,00",1/04/2020,509100,San Martín,Argentina,
P00121,Carla Medina,20-34567890-1,Software,Monotributista,-,Carla Medina,carla.medina@empresa.qrs,0123-6789,S.R.L.,"235.544,00",1/07/2020,509100,San Martín,Argentina,
P00121,Carla Medina,20-34567890-1,Software,Monotributista,-,Carla Medina,carla.medina@empresa.qrs,0123-6789,S.R.L.,"153.467,00",22/11/2020,509100,San Martín,Argentina,
P00121,Carla Medina,20-34567890-1,Software,Monotributista,-,Carla Medina,carla.medina@empresa.qrs,0123-6789,S.R.L.,"229.698,00",4/03/2021,509100,San Martín,Argentina,
P00121,Carla Medina,20-34567890-1,Software,Monotributista,-,Carla Medina,carla.medina@empresa.qrs,0123-6789,S.R.L.,"66.132,00",16/11/2020,509100,San Martín,Argentina,
P00121,Carla Medina,20-34567890-1,Software,Monotributista,-,Carla Medina,carla.medina@empresa.qrs,0123-6789,S.R.L.,"296.580,00",19/02/2021,509100,San Martín,Argentina,
P00121,Carla Medina,20-34567890-1,Software,Monotributista,-,Carla Medina,carla.medina@empresa.qrs,0123-6789,S.R.L.,"228.513,00",19/10/2022,509100,San Martín,Argentina,
P00122,Manuel Fernández,30-98765434-2,Consultoría IT,IVA Responsable,-,Manuel Fernández,manuel.fernandez@empresa.tuv,0345-6789,S.A.,"183.419,00",5/01/2020,501400,Viedma,Argentina,
P00122,Manuel Fernández,30-98765434-2,Consultoría IT,IVA Responsable,-,Manuel Fernández,manuel.fernandez@empresa.tuv,0345-6789,S.A.,"218.194,00",4/04/2020,501400,Viedma,Argentina,
P00122,Manuel Fernández,30-98765434-2,Consultoría IT,IVA Responsable,-,Manuel Fernández,manuel.fernandez@empresa.tuv,0345-6789,S.A.,"175.383,00",4/07/2020,501400,Viedma,Argentina,
P00122,Manuel Fernández,30-98765434-2,Consultoría IT,IVA Responsable,-,Manuel Fernández,manuel.fernandez@empresa.tuv,0345-6789,S.A.,"216.757,00",25/11/2020,501400,Viedma,Argentina,
P00122,Manuel Fernández,30-98765434-2,Consultoría IT,IVA Responsable,-,Manuel Fernández,manuel.fernandez@empresa.tuv,0345-6789,S.A.,"102.297,00",7/03/2021,501400,Viedma,Argentina,
P00122,Manuel Fernández,30-98765434-2,Consultoría IT,IVA Responsable,-,Manuel Fernández,manuel.fernandez@empresa.tuv,0345-6789,S.A.,"24.251,00",17/11/2022,501400,Viedma,Argentina,
P00122,Manuel Fernández,30-98765434-2,Consultoría IT,IVA Responsable,-,Manuel Fernández,manuel.fernandez@empresa.tuv,0345-6789,S.A.,"149.161,00",22/09/2022,501400,Viedma,Argentina,
P00122,Manuel Fernández,30-98765434-2,Consultoría IT,IVA Responsable,-,Manuel Fernández,manuel.fernandez@empresa.tuv,0345-6789,S.A.,"91.564,00",22/10/2022,501400,Viedma,Argentina,
P00123,Sofía Castro,27-87654321-0,Energía Eólica,Monotributista,-,Sofía Castro,sofia.castro@empresa.uvw,0456-7890,Sociedad Anónima,"296.190,00",8/01/2020,501400,Rawson,Argentina,
P00123,Sofía Castro,27-87654321-0,Energía Eólica,Monotributista,-,Sofía Castro,sofia.castro@empresa.uvw,0456-7890,Sociedad Anónima,"251.963,00",7/04/2020,501400,Rawson,Argentina,
P00123,Sofía Castro,27-87654321-0,Energía Eólica,Monotributista,-,Sofía Castro,sofia.castro@empresa.uvw,0456-7890,Sociedad Anónima,"119.340,00",7/07/2020,501400,Rawson,Argentina,
P00123,Sofía Castro,27-87654321-0,Energía Eólica,Monotributista,-,Sofía Castro,sofia.castro@empresa.uvw,0456-7890,Sociedad Anónima,"248.673,00",28/11/2020,501400,Rawson,Argentina,
P00123,Sofía Castro,27-87654321-0,Energía Eólica,Monotributista,-,Sofía Castro,sofia.castro@empresa.uvw,0456-7890,Sociedad Anónima,"75.137,00",18/11/2022,501400,Rawson,Argentina,
P00123,Sofía Castro,27-87654321-0,Energía Eólica,Monotributista,-,Sofía Castro,sofia.castro@empresa.uvw,0456-7890,Sociedad Anónima,"85.257,00",25/09/2022,501400,Rawson,Argentina,
P00123,Sofía Castro,27-87654321-0,Energía Eólica,Monotributista,-,Sofía Castro,sofia.castro@empresa.uvw,0456-7890,Sociedad Anónima,"91.564,00",25/10/2022,501400,Rawson,Argentina,
P00124,Ricardo López,23-98765432-4,Construcción,IVA Responsable,-,Ricardo López,ricardo.lopez@empresa.xyz,0567-8901,S.R.L.,"88.564,00",11/01/2020,516000,Oberá,Argentina,
P00124,Ricardo López,23-98765432-4,Construcción,IVA Responsable,-,Ricardo López,ricardo.lopez@empresa.xyz,0567-8901,S.R.L.,"109.710,00",10/04/2020,516000,Oberá,Argentina,
P00124,Ricardo López,23-98765432-4,Construcción,IVA Responsable,-,Ricardo López,ricardo.lopez@empresa.xyz,0567-8901,S.R.L.,"129.304,00",10/07/2020,516000,Oberá,Argentina,
P00124,Ricardo López,23-98765432-4,Construcción,IVA Responsable,-,Ricardo López,ricardo.lopez@empresa.xyz,0567-8901,S.R.L.,"233.659,00",1/12/2020,516000,Oberá,Argentina,
P00124,Ricardo López,23-98765432-4,Construcción,IVA Responsable,-,Ricardo López,ricardo.lopez@empresa.xyz,0567-8901,S.R.L.,"30.337,00",28/01/2021,516000,Oberá,Argentina,
P00124,Ricardo López,23-98765432-4,Construcción,IVA Responsable,-,Ricardo López,ricardo.lopez@empresa.xyz,0567-8901,S.R.L.,"246.839,00",28/09/2022,516000,Oberá,Argentina,
P00125,Gabriela Martínez,33-12345678-9,Agroindustria,Monotributista,-,Gabriela Martínez,gabriela.martinez@empresa.abc,0678-9012,Cooperativa,"22.903,00",14/01/2020,507100,Calafate,Argentina,
P00125,Gabriela Martínez,33-12345678-9,Agroindustria,Monotributista,-,Gabriela Martínez,gabriela.martinez@empresa.abc,0678-9012,Cooperativa,"247.663,00",13/04/2020,507100,Calafate,Argentina,
P00125,Gabriela Martínez,33-12345678-9,Agroindustria,Monotributista,-,Gabriela Martínez,gabriela.martinez@empresa.abc,0678-9012,Cooperativa,"90.516,00",13/07/2020,507100,Calafate,Argentina,
P00125,Gabriela Martínez,33-12345678-9,Agroindustria,Monotributista,-,Gabriela Martínez,gabriela.martinez@empresa.abc,0678-9012,Cooperativa,"139.242,00",4/12/2020,507100,Calafate,Argentina,
P00125,Gabriela Martínez,33-12345678-9,Agroindustria,Monotributista,-,Gabriela Martínez,gabriela.martinez@empresa.abc,0678-9012,Cooperativa,"88.185,00",1/02/2021,507100,Calafate,Argentina,
P00125,Gabriela Martínez,33-12345678-9,Agroindustria,Monotributista,-,Gabriela Martínez,gabriela.martinez@empresa.abc,0678-9012,Cooperativa,"244.816,00",1/10/2022,507100,Calafate,Argentina,
P00126,Pablo Vargas,20-23456789-1,Tecnología,IVA Responsable,-,Pablo Vargas,pablo.vargas@empresa.def,0789-0123,S.A.,"74.389,00",17/01/2020,509100,Gualeguaychú,Argentina,
P00126,Pablo Vargas,20-23456789-1,Tecnología,IVA Responsable,-,Pablo Vargas,pablo.vargas@empresa.def,0789-0123,S.A.,"117.043,00",16/04/2020,509100,Gualeguaychú,Argentina,
P00126,Pablo Vargas,20-23456789-1,Tecnología,IVA Responsable,-,Pablo Vargas,pablo.vargas@empresa.def,0789-0123,S.A.,"97.376,00",16/07/2020,509100,Gualeguaychú,Argentina,
P00126,Pablo Vargas,20-23456789-1,Tecnología,IVA Responsable,-,Pablo Vargas,pablo.vargas@empresa.def,0789-0123,S.A.,"231.968,00",7/12/2020,509100,Gualeguaychú,Argentina,
P00126,Pablo Vargas,20-23456789-1,Tecnología,IVA Responsable,-,Pablo Vargas,pablo.vargas@empresa.def,0789-0123,S.A.,"146.818,00",4/02/2021,509100,Gualeguaychú,Argentina,
P00126,Pablo Vargas,20-23456789-1,Tecnología,IVA Responsable,-,Pablo Vargas,pablo.vargas@empresa.def,0789-0123,S.A.,"14.222,00",4/10/2022,509100,Gualeguaychú,Argentina,
P00127,Laura Fernández,30-34567890-3,Energía Solar,Monotributista,-,Laura Fernández,laura.fernandez@empresa.ghi,0890-1234,S.R.L.,"37.706,00",20/01/2020,501400,Río Grande,Argentina,
P00127,Laura Fernández,30-34567890-3,Energía Solar,Monotributista,-,Laura Fernández,laura.fernandez@empresa.ghi,0890-1234,S.R.L.,"11.442,00",19/04/2020,501400,Río Grande,Argentina,
P00127,Laura Fernández,30-34567890-3,Energía Solar,Monotributista,-,Laura Fernández,laura.fernandez@empresa.ghi,0890-1234,S.R.L.,"179.093,00",19/07/2020,501400,Río Grande,Argentina,
P00127,Laura Fernández,30-34567890-3,Energía Solar,Monotributista,-,Laura Fernández,laura.fernandez@empresa.ghi,0890-1234,S.R.L.,"173.998,00",10/12/2020,501400,Río Grande,Argentina,
P00127,Laura Fernández,30-34567890-3,Energía Solar,Monotributista,-,Laura Fernández,laura.fernandez@empresa.ghi,0890-1234,S.R.L.,"283.665,00",7/02/2021,501400,Río Grande,Argentina,
P00127,Laura Fernández,30-34567890-3,Energía Solar,Monotributista,-,Laura Fernández,laura.fernandez@empresa.ghi,0890-1234,S.R.L.,"212.134,00",7/10/2022,501400,Río Grande,Argentina,
P00128,Javier González,27-98765432-5,Transporte,IVA Responsable,-,Javier González,javier.gonzalez@empresa.jkl,0912-3456,Sociedad Anónima,"198.341,00",23/01/2020,502100,Buenos Aires,Argentina,
P00128,Javier González,27-98765432-5,Transporte,IVA Responsable,-,Javier González,javier.gonzalez@empresa.jkl,0912-3456,Sociedad Anónima,"10.587,00",22/04/2020,502100,Buenos Aires,Argentina,
P00128,Javier González,27-98765432-5,Transporte,IVA Responsable,-,Javier González,javier.gonzalez@empresa.jkl,0912-3456,Sociedad Anónima,"179.746,00",22/07/2020,502100,Buenos Aires,Argentina,
P00128,Javier González,27-98765432-5,Transporte,IVA Responsable,-,Javier González,javier.gonzalez@empresa.jkl,0912-3456,Sociedad Anónima,"83.142,00",13/12/2020,502100,Buenos Aires,Argentina,
P00128,Javier González,27-98765432-5,Transporte,IVA Responsable,-,Javier González,javier.gonzalez@empresa.jkl,0912-3456,Sociedad Anónima,"59.591,00",10/02/2021,502100,Buenos Aires,Argentina,
P00128,Javier González,27-98765432-5,Transporte,IVA Responsable,-,Javier González,javier.gonzalez@empresa.jkl,0912-3456,Sociedad Anónima,"280.267,00",10/10/2022,502100,Buenos Aires,Argentina,
P00129,Patricia Rivas,23-45678901-7,Construcción,Monotributista,-,Patricia Rivas,patricia.rivas@empresa.mno,0123-4567,S.R.L.,"237.422,00",26/01/2020,516000,Villa Carlos Paz,Argentina,
P00129,Patricia Rivas,23-45678901-7,Construcción,Monotributista,-,Patricia Rivas,patricia.rivas@empresa.mno,0123-4567,S.R.L.,"13.020,00",25/04/2020,516000,Villa Carlos Paz,Argentina,
P00129,Patricia Rivas,23-45678901-7,Construcción,Monotributista,-,Patricia Rivas,patricia.rivas@empresa.mno,0123-4567,S.R.L.,"94.240,00",25/07/2020,516000,Villa Carlos Paz,Argentina,
P00129,Patricia Rivas,23-45678901-7,Construcción,Monotributista,-,Patricia Rivas,patricia.rivas@empresa.mno,0123-4567,S.R.L.,"64.138,00",16/12/2020,516000,Villa Carlos Paz,Argentina,
P00129,Patricia Rivas,23-45678901-7,Construcción,Monotributista,-,Patricia Rivas,patricia.rivas@empresa.mno,0123-4567,S.R.L.,"209.335,00",13/02/2021,516000,Villa Carlos Paz,Argentina,
P00129,Patricia Rivas,23-45678901-7,Construcción,Monotributista,-,Patricia Rivas,patricia.rivas@empresa.mno,0123-4567,S.R.L.,"211.622,00",13/10/2022,516000,Villa Carlos Paz,Argentina,
P00130,Fernando Reyes,33-56789012-6,Agroindustria,IVA Responsable,-,Fernando Reyes,fernando.reyes@empresa.pqr,0345-6789,Cooperativa,"79.707,00",29/01/2020,507100,Villa Allende,Argentina,
P00130,Fernando Reyes,33-56789012-6,Agroindustria,IVA Responsable,-,Fernando Reyes,fernando.reyes@empresa.pqr,0345-6789,Cooperativa,"217.800,00",28/04/2020,507100,Villa Allende,Argentina,
P00130,Fernando Reyes,33-56789012-6,Agroindustria,IVA Responsable,-,Fernando Reyes,fernando.reyes@empresa.pqr,0345-6789,Cooperativa,"26.298,00",28/07/2020,507100,Villa Allende,Argentina,
P00130,Fernando Reyes,33-56789012-6,Agroindustria,IVA Responsable,-,Fernando Reyes,fernando.reyes@empresa.pqr,0345-6789,Cooperativa,"147.083,00",19/12/2020,507100,Villa Allende,Argentina,
P00130,Fernando Reyes,33-56789012-6,Agroindustria,IVA Responsable,-,Fernando Reyes,fernando.reyes@empresa.pqr,0345-6789,Cooperativa,"241.869,00",16/02/2021,507100,Villa Allende,Argentina,
P00130,Fernando Reyes,33-56789012-6,Agroindustria,IVA Responsable,-,Fernando Reyes,fernando.reyes@empresa.pqr,0345-6789,Cooperativa,"140.463,00",16/10/2022,507100,Villa Allende,Argentina,
P00131,Valentina Ortega,20-87654321-2,Consultoría,Monotributista,-,Valentina Ortega,valentina.ortega@empresa.stu,0456-7890,S.R.L.,"12.989,00",1/02/2020,501400,San Pedro,Argentina,
P00131,Valentina Ortega,20-87654321-2,Consultoría,Monotributista,-,Valentina Ortega,valentina.ortega@empresa.stu,0456-7890,S.R.L.,"268.049,00",1/05/2020,501400,San Pedro,Argentina,
P00131,Valentina Ortega,20-87654321-2,Consultoría,Monotributista,-,Valentina Ortega,valentina.ortega@empresa.stu,0456-7890,S.R.L.,"222.635,00",1/08/2020,501400,San Pedro,Argentina,
P00131,Valentina Ortega,20-87654321-2,Consultoría,Monotributista,-,Valentina Ortega,valentina.ortega@empresa.stu,0456-7890,S.R.L.,"256.449,00",22/12/2020,501400,San Pedro,Argentina,
P00131,Valentina Ortega,20-87654321-2,Consultoría,Monotributista,-,Valentina Ortega,valentina.ortega@empresa.stu,0456-7890,S.R.L.,"141.315,00",19/02/2021,501400,San Pedro,Argentina,
P00131,Valentina Ortega,20-87654321-2,Consultoría,Monotributista,-,Valentina Ortega,valentina.ortega@empresa.stu,0456-7890,S.R.L.,"186.346,00",19/10/2022,501400,San Pedro,Argentina,
P00132,Andrés Ruiz,30-12345678-9,Tecnología,IVA Responsable,-,Andrés Ruiz,andres.ruiz@empresa.tuv,0567-8901,S.A.,"249.854,00",4/02/2020,509100,General Roca,Argentina,
P00132,Andrés Ruiz,30-12345678-9,Tecnología,IVA Responsable,-,Andrés Ruiz,andres.ruiz@empresa.tuv,0567-8901,S.A.,"229.698,00",4/05/2020,509100,General Roca,Argentina,
P00132,Andrés Ruiz,30-12345678-9,Tecnología,IVA Responsable,-,Andrés Ruiz,andres.ruiz@empresa.tuv,0567-8901,S.A.,"192.599,00",4/08/2020,509100,General Roca,Argentina,
P00132,Andrés Ruiz,30-12345678-9,Tecnología,IVA Responsable,-,Andrés Ruiz,andres.ruiz@empresa.tuv,0567-8901,S.A.,"152.846,00",25/12/2020,509100,General Roca,Argentina,
P00132,Andrés Ruiz,30-12345678-9,Tecnología,IVA Responsable,-,Andrés Ruiz,andres.ruiz@empresa.tuv,0567-8901,S.A.,"110.878,00",7/01/2021,509100,General Roca,Argentina,
P00132,Andrés Ruiz,30-12345678-9,Tecnología,IVA Responsable,-,Andrés Ruiz,andres.ruiz@empresa.tuv,0567-8901,S.A.,"48.679,00",22/09/2022,509100,General Roca,Argentina,
P00132,Andrés Ruiz,30-12345678-9,Tecnología,IVA Responsable,-,Andrés Ruiz,andres.ruiz@empresa.tuv,0567-8901,S.A.,"50.488,00",22/10/2022,509100,General Roca,Argentina,
P00133,Daniela Fernández,27-23456789-4,Energía Eólica,Monotributista,-,Daniela Fernández,daniela.fernandez@empresa.uvw,0678-9012,Sociedad Anónima,"127.726,00",7/02/2020,501400,Junín,Argentina,
P00133,Daniela Fernández,27-23456789-4,Energía Eólica,Monotributista,-,Daniela Fernández,daniela.fernandez@empresa.uvw,0678-9012,Sociedad Anónima,"102.297,00",7/05/2020,501400,Junín,Argentina,
P00133,Daniela Fernández,27-23456789-4,Energía Eólica,Monotributista,-,Daniela Fernández,daniela.fernandez@empresa.uvw,0678-9012,Sociedad Anónima,"150.974,00",7/08/2020,501400,Junín,Argentina,
P00133,Daniela Fernández,27-23456789-4,Energía Eólica,Monotributista,-,Daniela Fernández,daniela.fernandez@empresa.uvw,0678-9012,Sociedad Anónima,"256.144,00",28/12/2020,501400,Junín,Argentina,
P00133,Daniela Fernández,27-23456789-4,Energía Eólica,Monotributista,-,Daniela Fernández,daniela.fernandez@empresa.uvw,0678-9012,Sociedad Anónima,"31.099,00",10/01/2021,501400,Junín,Argentina,
P00133,Daniela Fernández,27-23456789-4,Energía Eólica,Monotributista,-,Daniela Fernández,daniela.fernandez@empresa.uvw,0678-9012,Sociedad Anónima,"194.151,00",25/09/2022,501400,Junín,Argentina,
P00133,Daniela Fernández,27-23456789-4,Energía Eólica,Monotributista,-,Daniela Fernández,daniela.fernandez@empresa.uvw,0678-9012,Sociedad Anónima,"126.804,00",25/10/2022,501400,Junín,Argentina,
P00134,Luis Gómez,23-34567890-7,Construcción,IVA Responsable,-,Luis Gómez,luis.gomez@empresa.xyz,0789-0123,S.R.L.,"243.396,00",10/02/2020,516000,Buenos Aires,Argentina,
P00134,Luis Gómez,23-34567890-7,Construcción,IVA Responsable,-,Luis Gómez,luis.gomez@empresa.xyz,0789-0123,S.R.L.,"24.358,00",10/05/2020,516000,Buenos Aires,Argentina,
P00134,Luis Gómez,23-34567890-7,Construcción,IVA Responsable,-,Luis Gómez,luis.gomez@empresa.xyz,0789-0123,S.R.L.,"60.625,00",10/08/2020,516000,Buenos Aires,Argentina,
P00134,Luis Gómez,23-34567890-7,Construcción,IVA Responsable,-,Luis Gómez,luis.gomez@empresa.xyz,0789-0123,S.R.L.,"161.646,00",1/10/2020,516000,Buenos Aires,Argentina,
P00134,Luis Gómez,23-34567890-7,Construcción,IVA Responsable,-,Luis Gómez,luis.gomez@empresa.xyz,0789-0123,S.R.L.,"135.225,00",1/01/2021,516000,Buenos Aires,Argentina,
P00134,Luis Gómez,23-34567890-7,Construcción,IVA Responsable,-,Luis Gómez,luis.gomez@empresa.xyz,0789-0123,S.R.L.,"249.165,00",13/01/2021,516000,Buenos Aires,Argentina,
P00134,Luis Gómez,23-34567890-7,Construcción,IVA Responsable,-,Luis Gómez,luis.gomez@empresa.xyz,0789-0123,S.R.L.,"219.837,00",28/09/2022,516000,Buenos Aires,Argentina,
P00134,Luis Gómez,23-34567890-7,Construcción,IVA Responsable,-,Luis Gómez,luis.gomez@empresa.xyz,0789-0123,S.R.L.,"173.152,00",28/01/2021,516000,Buenos Aires,Argentina,
P00135,Marcela Jiménez,33-45678901-8,Agroindustria,Monotributista,-,Marcela Jiménez,marcela.jimenez@empresa.abc,0890-1234,Cooperativa,"46.325,00",13/02/2020,507100,Rafaela,Argentina,
P00135,Marcela Jiménez,33-45678901-8,Agroindustria,Monotributista,-,Marcela Jiménez,marcela.jimenez@empresa.abc,0890-1234,Cooperativa,"165.797,00",13/05/2020,507100,Rafaela,Argentina,
P00135,Marcela Jiménez,33-45678901-8,Agroindustria,Monotributista,-,Marcela Jiménez,marcela.jimenez@empresa.abc,0890-1234,Cooperativa,"294.815,00",13/08/2020,507100,Rafaela,Argentina,
P00135,Marcela Jiménez,33-45678901-8,Agroindustria,Monotributista,-,Marcela Jiménez,marcela.jimenez@empresa.abc,0890-1234,Cooperativa,"57.988,00",4/10/2020,507100,Rafaela,Argentina,
